Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.79      0.04     0.04  9622893     0.00     0.00  Vector::Vector(float, float, float)
 13.79      0.08     0.04   915850     0.00     0.00  Sphere::rayIntersection(Ray*, Primitive**)
 10.34      0.11     0.03  3119731     0.00     0.00  Vector::operator*(float const&) const
 10.34      0.14     0.03  1852283     0.00     0.00  Vector::operator/(float const&) const
  6.90      0.16     0.02  8900985     0.00     0.00  Vector::Vector()
  6.90      0.18     0.02  8754843     0.00     0.00  Vector::Vector(Vector const&)
  6.90      0.20     0.02  1831705     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::size() const
  6.90      0.22     0.02   987485     0.00     0.00  Color::Color()
  6.90      0.24     0.02   329157     0.00     0.00  RayTracer::colorContribution(Primitive*, Ray, int, int)
  3.45      0.25     0.01  3094536     0.00     0.00  Vector::dotPoint(Vector) const
  3.45      0.26     0.01  1245008     0.00     0.00  Vector::Vector(Vector, Vector)
  3.45      0.27     0.01   586693     0.00     0.00  RayTracer::shading(Ray, Primitive*, int, int)
  3.45      0.28     0.01   329158     0.00     0.00  void std::_Construct<Light, Light const&>(Light*, Light const&)
  3.45      0.29     0.01   329157     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<unsigned int>::__value, double>::__type std::sqrt<unsigned int>(unsigned int)
  0.00      0.29     0.00  2534998     0.00     0.00  std::sqrt(float)
  0.00      0.29     0.00  2468060     0.00     0.00  Vector::operator-(Vector const&) const
  0.00      0.29     0.00  2182817     0.00     0.00  Vector::operator+(Vector const&) const
  0.00      0.29     0.00  1852283     0.00     0.00  Vector::lenght()
  0.00      0.29     0.00  1852283     0.00     0.00  Vector::normalize()
  0.00      0.29     0.00  1831700     0.00     0.00  Ray::Ray(Ray const&)
  0.00      0.29     0.00  1316633     0.00     0.00  std::vector<Light, std::allocator<Light> >::size() const
  0.00      0.29     0.00  1316632     0.00     0.00  __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >::base() const
  0.00      0.29     0.00  1173388     0.00     0.00  Color::Color(Color const&)
  0.00      0.29     0.00   915850     0.00     0.00  RayTracer::intersectionTest(Ray*, Primitive**)
  0.00      0.29     0.00   915850     0.00     0.00  std::vector<Primitive*, std::allocator<Primitive*> >::operator[](unsigned int)
  0.00      0.29     0.00   659690     0.00     0.00  Ray::setP()
  0.00      0.29     0.00   658321     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_M_get_Tp_allocator()
  0.00      0.29     0.00   658316     0.00     0.00  __gnu_cxx::new_allocator<Light>::~new_allocator()
  0.00      0.29     0.00   658316     0.00     0.00  __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >::__normal_iterator(Light const* const&)
  0.00      0.29     0.00   658316     0.00     0.00  bool __gnu_cxx::operator!=<Light const*, std::vector<Light, std::allocator<Light> > >(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > > const&, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > > const&)
  0.00      0.29     0.00   658314     0.00     0.00  __gnu_cxx::new_allocator<Light>::new_allocator(__gnu_cxx::new_allocator<Light> const&)
  0.00      0.29     0.00   655562     0.00     0.00  __gnu_cxx::__promote_2<int, float, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::fmax<int, float>(int, float)
  0.00      0.29     0.00   586693     0.00     0.00  Ray::Ray(Vector, Vector)
  0.00      0.29     0.00   329161     0.00     0.00  __gnu_cxx::new_allocator<Light>::max_size() const
  0.00      0.29     0.00   329161     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Light*>(Light*, Light*)
  0.00      0.29     0.00   329161     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_M_deallocate(Light*, unsigned int)
  0.00      0.29     0.00   329161     0.00     0.00  Light const& std::forward<Light const&>(std::remove_reference<Light const&>::type&)
  0.00      0.29     0.00   329161     0.00     0.00  void std::_Destroy<Light*>(Light*, Light*)
  0.00      0.29     0.00   329161     0.00     0.00  void std::_Destroy<Light*, Light>(Light*, Light*, std::allocator<Light>&)
  0.00      0.29     0.00   329160     0.00     0.00  Light::Light(Light const&)
  0.00      0.29     0.00   329160     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.29     0.00   329159     0.00     0.00  __gnu_cxx::new_allocator<Light>::deallocate(Light*, unsigned int)
  0.00      0.29     0.00   329159     0.00     0.00  __gnu_cxx::new_allocator<Light>::allocate(unsigned int, void const*)
  0.00      0.29     0.00   329159     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_M_get_Tp_allocator() const
  0.00      0.29     0.00   329159     0.00     0.00  std::allocator<Light>::~allocator()
  0.00      0.29     0.00   329159     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_M_allocate(unsigned int)
  0.00      0.29     0.00   329159     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00   329159     0.00     0.00  std::_Vector_base<Light, std::allocator<Light> >::~_Vector_base()
  0.00      0.29     0.00   329159     0.00     0.00  std::allocator_traits<std::allocator<Light> >::deallocate(std::allocator<Light>&, Light*, unsigned int)
  0.00      0.29     0.00   329159     0.00     0.00  std::allocator_traits<std::allocator<Light> >::allocate(std::allocator<Light>&, unsigned int)
  0.00      0.29     0.00   329159     0.00     0.00  std::vector<Light, std::allocator<Light> >::~vector()
  0.00      0.29     0.00   329158     0.00     0.00  __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >::operator++()
  0.00      0.29     0.00   329158     0.00     0.00  __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >::operator*() const
  0.00      0.29     0.00   329158     0.00     0.00  std::vector<Light, std::allocator<Light> >::end() const
  0.00      0.29     0.00   329158     0.00     0.00  std::vector<Light, std::allocator<Light> >::begin() const
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__addressof<Light>(Light&)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*)
  0.00      0.29     0.00   329158     0.00     0.00  Light* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*, Light>(__gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, __gnu_cxx::__normal_iterator<Light const*, std::vector<Light, std::allocator<Light> > >, Light*, std::allocator<Light>&)
  0.00      0.29     0.00   329157     0.00     0.00  Ray::Ray(Vector, Vector, float)
  0.00      0.29     0.00   329157     0.00     0.00  Sphere::getNormal(Vector)
  0.00      0.29     0.00   329157     0.00     0.00  RayTracer::fullScale(Vector, Vector, Vector, Primitive*, int)
  0.00      0.29     0.00   329157     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Light>, Light>::_S_select_on_copy(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator<Light>::allocator(std::allocator<Light> const&)
  0.00      0.29     0.00   329157     0.00     0.00  std::allocator<Light>::allocator(std::allocator<Light> const&)
